WHO,ATLAS
Afghanistan,Afghanistan
Albania,Albania
Algeria,Algeria
Andorra,Andorra
Angola,Angola
Anguilla,Anguilla
Antigua and Barbuda,
Argentina,Argentina
Armenia,Armenia
Aruba,Aruba
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
Bahamas,Bahamas
Bahrain,Bahrain
Bangladesh,Bangladesh
Barbados,Barbados
Belarus,Belarus
Belgium,Belgium
Belize,Belize
Benin,Benin
Bermuda,Bermuda
Bhutan,Bhutan
Bolivia (Plurinational State of),Bolivia
"Bonaire, Sint Eustatius and Saba",
Bosnia and Herzegovina,Bosnia and Herz.
Botswana,Botswana
Brazil,Brazil
British Virgin Islands,British Virgin Is.
Brunei Darussalam,Brunei
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Burundi,Burundi
Cabo Verde,Cape Verde
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
Cayman Islands,Cayman Is.
Central African Republic,Central African Rep.
Chad,Chad
Chile,Chile
China,China
Colombia,Colombia
Comoros,Comoros
Congo,Congo
Costa Rica,Costa Rica
Croatia,Croatia
Cuba,Cuba
Cura‡ao,Cura‡ao
Cyprus,Cyprus
Czechia,Czech Rep.
C“te d?Ivoire,C“te d'Ivoire
Democratic Republic of the Congo,Dem. Rep. Congo
Denmark,Denmark
Djibouti,Djibouti
Dominica,Dominica
Dominican Republic,Dominican Rep.
Ecuador,Ecuador
Egypt,Egypt
El Salvador,El Salvador
Equatorial Guinea,Eq. Guinea
Eritrea,Eritrea
Estonia,Estonia
Eswatini,Swaziland
Ethiopia,Ethiopia
Falkland Islands (Malvinas),Falkland Is.
Faroe Islands,Faeroe Is.
Fiji,Fiji
Finland,Finland
France,France
French Guiana,France
French Polynesia,Fr. Polynesia
Gabon,Gabon
Gambia,Gambia
Georgia,Georgia
Germany,Germany
Ghana,Ghana
Gibraltar,United Kingdom
Greece,Greece
Greenland,Greenland
Grenada,Grenada
Guadeloupe,France
Guam,Guam
Guatemala,Guatemala
Guernsey,Guernsey
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Guyana,Guyana
Haiti,Haiti
Holy See,
Honduras,Honduras
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
Iran (Islamic Republic of),Iran
Iraq,Iraq
Ireland,Ireland
Isle of Man,Isle of Man
Israel,Israel
Italy,Italy
Jamaica,Jamaica
Japan,Japan
Jersey,Jersey
Jordan,Jordan
Kazakhstan,Kazakhstan
Kenya,Kenya
Kosovo[1],Kosovo
Kuwait,Kuwait
Kyrgyzstan,Kyrgyzstan
Lao People's Democratic Republic,Lao PDR
Latvia,Latvia
Lebanon,Lebanon
Lesotho,Lesotho
Liberia,Liberia
Libya,Libya
Liechtenstein,Liechtenstein
Lithuania,Lithuania
Luxembourg,Luxembourg
Madagascar,Madagascar
Malawi,Malawi
Malaysia,Malaysia
Maldives,Maldives
Mali,Mali
Malta,Malta
Martinique,France
Mauritania,Mauritania
Mauritius,Mauritius
Mayotte,France
Mexico,Mexico
Monaco,Monaco
Mongolia,Mongolia
Montenegro,Montenegro
Montserrat,Montserrat
Morocco,Morocco
Mozambique,Mozambique
Myanmar,Myanmar
Namibia,Namibia
Nepal,Nepal
Netherlands,Netherlands
New Caledonia,New Caledonia
New Zealand,New Zealand
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
North Macedonia,Macedonia
Northern Mariana Islands (Commonwealth of the),United States
Norway,Norway
Oman,Oman
Other,
Pakistan,Pakistan
Panama,Panama
Papua New Guinea,Papua New Guinea
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Puerto Rico,Puerto Rico
Qatar,Qatar
Republic of Korea,Korea
Republic of Moldova,Moldova
Romania,Romania
Russian Federation,Russia
Rwanda,Rwanda
R‚union,France
Saint Barth‚lemy,France
Saint Kitts and Nevis,St. Kitts and Nevis
Saint Lucia,Saint Lucia
Saint Martin,St-Martin
Saint Pierre and Miquelon,St. Pierre and Miquelon
Saint Vincent and the Grenadines,St. Vin. and Gren.
San Marino,San Marino
Sao Tome and Principe,S?o Tom‚ and Principe
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Serbia,Serbia
Seychelles,Seychelles
Sierra Leone,Sierra Leone
Singapore,Singapore
Sint Maarten,Sint Maarten
Slovakia,Slovakia
Slovenia,Slovenia
Somalia,Somalia
South Africa,South Africa
South Sudan,S. Sudan
Spain,Spain
Sri Lanka,Sri Lanka
Sudan,Sudan
Suriname,Suriname
Sweden,Sweden
Switzerland,Switzerland
Syrian Arab Republic,Syria
Tajikistan,Tajikistan
Thailand,Thailand
The United Kingdom,United Kingdom
Timor-Leste,Timor-Leste
Togo,Togo
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Turks and Caicos Islands,Turks and Caicos Is.
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
United Republic of Tanzania,Tanzania
United States Virgin Islands,U.S. Virgin Is.
United States of America,United States
Uruguay,Uruguay
Uzbekistan,Uzbekistan
Venezuela (Bolivarian Republic of),Venezuela
Viet Nam,Vietnam
Yemen,Yemen
Zambia,Zambia
Zimbabwe,Zimbabwe
"occupied Palestinian territory, including east Jerusalem",Palestine
